"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU"
"1","Kachin","Myitkyina","AREA # 010151","Hsinbo(ST)","MMR001001","Myitkyina"
"2","Kachin","Myitkyina","AREA # 010101","Myitkyina","MMR001001","Myitkyina"
"3","Kachin","Myitkyina","AREA # 010152","Hsadone(ST)","MMR001002","Waingmaw"
"4","Kachin","Myitkyina","AREA # 010153","Kanpaikti(ST)","MMR001002","Waingmaw"
"5","Kachin","Myitkyina","AREA # 010102","Waingmaw","MMR001002","Waingmaw"
"6","Kachin","Myitkyina","AREA # 010103","Ingyanyan","MMR001003","Injangyang"
"7","Kachin","Myitkyina","AREA # 010154","Shinbwayyan(ST)","MMR001004","Tanai"
"8","Kachin","Myitkyina","AREA # 010104","Tanaing","MMR001004","Tanai"
"9","Kachin","Myitkyina","AREA # 010105","Chiphwe","MMR001005","Chipwi"
"10","Kachin","Myitkyina","AREA # 010155","Panwa(ST)","MMR001005","Chipwi"
"11","Kachin","Myitkyina","AREA # 010106","Hsotlaw","MMR001006","Tsawlaw"
"12","Kachin","Mohnyin","AREA # 010251","Hopin(ST)","MMR001007","Mohnyin"
"13","Kachin","Mohnyin","AREA # 010201","Mohnyin","MMR001007","Mohnyin"
"14","Kachin","Mohnyin","AREA # 010202","Mogaung","MMR001008","Mogaung"
"15","Kachin","Mohnyin","AREA # 010203","Phakant","MMR001009","Hpakant"
"16","Kachin","Mohnyin","AREA # 010252","Kamine(ST)","MMR001009","Hpakant"
"17","Kachin","Bhamo","AREA # 010301","Bhamo","MMR001010","Bhamo"
"18","Kachin","Bhamo","AREA # 010351","Myohla(ST)","MMR001011","Shwegu"
"19","Kachin","Bhamo","AREA # 010302","Shwegu","MMR001011","Shwegu"
"20","Kachin","Bhamo","AREA # 010352","Lwe`ge`(ST)","MMR001012","Momauk"
"21","Kachin","Bhamo","AREA # 010353","Dotphoneyan(ST)","MMR001012","Momauk"
"22","Kachin","Bhamo","AREA # 010303","Momauk","MMR001012","Momauk"
"23","Kachin","Bhamo","AREA # 010304","Mansi","MMR001013","Mansi"
"24","Kachin","Putao","AREA # 010401","Putao","MMR001014","Puta-O"
"25","Kachin","Putao","AREA # 010402","Sumprabum","MMR001015","Sumprabum"
"26","Kachin","Putao","AREA # 010403","Machanbaw","MMR001016","Machanbaw"
"27","Kachin","Putao","AREA # 010451","Pannandin(ST)","MMR001017","Nawngmun"
"28","Kachin","Putao","AREA # 010405","Naungmoon","MMR001017","Nawngmun"
"29","Kachin","Putao","AREA # 010404","Khaunglanphoo","MMR001018","Khaunglanhpu"
"30","Kayah","Loikaw","AREA # 020101","Loikaw","MMR002001","Loikaw"
"31","Kayah","Loikaw","AREA # 020102","Dimawso","MMR002002","Demoso"
"32","Kayah","Loikaw","AREA # 020103","Phruso","MMR002003","Hpruso"
"33","Kayah","Loikaw","AREA # 020104","Shardaw","MMR002004","Shadaw"
"34","Kayah","Bawlakhe","AREA # 020201","Bawlakhe","MMR002005","Bawlake"
"35","Kayah","Bawlakhe","AREA # 020251","Ywathit(ST)","MMR002005","Bawlake"
"36","Kayah","Bawlakhe","AREA # 020202","Parsaung","MMR002006","Hpasawng"
"37","Kayah","Bawlakhe","AREA # 020203","Meisi","MMR002007","Mese"
"38","Kayin","Hpa-an","AREA # 030101","Hpa-an","MMR003001","Hpa-An"
"39","Kayin","Hpa-an","AREA # 030151","Paingkyon(ST)","MMR003002","Hlaingbwe"
"40","Kayin","Hpa-an","AREA # 030152","Shan Ywathit(ST)","MMR003002","Hlaingbwe"
"41","Kayin","Hpa-an","AREA # 030102","Hlaingbwe","MMR003002","Hlaingbwe"
"42","Kayin","Pharpon","AREA # 030201","Pharpon","MMR003003","Hpapun"
"43","Kayin","Pharpon","AREA # 030251","Kamamaung(ST}","MMR003003","Hpapun"
"44","Kayin","Hpa-an","AREA # 030154","Bawgali(ST)","MMR003004","Thandaunggyi"
"45","Kayin","Hpa-an","AREA # 030153","Leiktho(ST)","MMR003004","Thandaunggyi"
"46","Kayin","Hpa-an","AREA # 030103","Thandaunggyi","MMR003004","Thandaunggyi"
"47","Kayin","Myawady","AREA # 030301","Myawady","MMR003005","Myawaddy"
"48","Kayin","Myawady","AREA # 030352","Wawlaymyaing(ST)","MMR003005","Myawaddy"
"49","Kayin","Myawady","AREA # 030351","Sugali(ST)","MMR003005","Myawaddy"
"50","Kayin","Kawkareik","AREA # 030401","Kawkareik","MMR003006","Kawkareik"
"51","Kayin","Kawkareik","AREA # 030402","Kyarinseikkyi","MMR003007","Kyainseikgyi"
"52","Kayin","Kawkareik","AREA # 030451","Payarthonezu(ST)","MMR003007","Kyainseikgyi"
"53","Kayin","Kawkareik","AREA # 030452","Kyaidon(ST)","MMR003007","Kyainseikgyi"
"54","Chin","Falam","AREA # 040251","Rihkhuadal(ST)","MMR004001","Falam"
"55","Chin","Falam","AREA # 040201","Falam","MMR004001","Falam"
"56","Chin","Haka","AREA # 040101","HaKa","MMR004002","Hakha"
"57","Chin","Haka","AREA # 040102","Thantlang","MMR004003","Thantlang"
"58","Chin","Falam","AREA # 040202","Tedim","MMR004004","Tedim"
"59","Chin","Falam","AREA # 040252","Cikha(ST)","MMR004005","Tonzang"
"60","Chin","Falam","AREA # 040203","Tonzaung","MMR004005","Tonzang"
"61","Chin","Mindat","AREA # 040301","Mindat","MMR004006","Mindat"
"62","Chin","Mindat","AREA # 040351","Reazu(ST)","MMR004007","Matupi"
"63","Chin","Mindat","AREA # 040302","Matupi","MMR004007","Matupi"
"64","Chin","Mindat","AREA # 040303","Kanpalet","MMR004008","Kanpetlet"
"65","Chin","Mindat","AREA # 040304","Paletwat","MMR004009","Paletwa"
"66","Chin","Mindat","AREA # 040352","Sami(ST)","MMR004009","Paletwa"
"67","Sagaing","Sagaing","AREA # 050101","Sagaing","MMR005001","Sagaing"
"68","Sagaing","Sagaing","AREA # 050102","Myinmu","MMR005002","Myinmu"
"69","Sagaing","Sagaing","AREA # 050103","Myaung","MMR005003","Myaung"
"70","Sagaing","Shwebo","AREA # 050201","Shwebo","MMR005004","Shwebo"
"71","Sagaing","Shwebo","AREA # 050251","Kyaukmyaung(ST)","MMR005004","Shwebo"
"72","Sagaing","Shwebo","AREA # 050202","Khin U","MMR005005","Khin-U"
"73","Sagaing","Shwebo","AREA # 050203","Wetlet","MMR005006","Wetlet"
"74","Sagaing","Shwebo","AREA # 050204","Kambalu","MMR005007","Kanbalu"
"75","Sagaing","Shwebo","AREA # 050205","Kyunhlau","MMR005008","Kyunhla"
"76","Sagaing","Shwebo","AREA # 050206","Ye U","MMR005009","Ye-U"
"77","Sagaing","Shwebo","AREA # 050207","Depayin","MMR005010","Tabayin"
"78","Sagaing","Shwebo","AREA # 050208","Tasei","MMR005011","Taze"
"79","Sagaing","Monywa","AREA # 050301","Monywa","MMR005012","Monywa"
"80","Sagaing","Monywa","AREA # 050302","Butalin","MMR005013","Budalin"
"81","Sagaing","Monywa","AREA # 050303","Ayartaw","MMR005014","Ayadaw"
"82","Sagaing","Monywa","AREA # 050304","Chaung Oo","MMR005015","Chaung-U"
"83","Sagaing","Yinmarpin","AREA # 050901","Yinmarpin","MMR005016","Yinmarbin"
"84","Sagaing","Yinmarpin","AREA # 050904","Kani","MMR005017","Kani"
"85","Sagaing","Yinmarpin","AREA # 050902","Salingyi","MMR005018","Salingyi"
"86","Sagaing","Yinmarpin","AREA # 050903","Palae","MMR005019","Pale"
"87","Sagaing","Katha","AREA # 050401","Katha","MMR005020","Katha"
"88","Sagaing","Katha","AREA # 050402","Indaw","MMR005021","Indaw"
"89","Sagaing","Katha","AREA # 050403","Tigyaing","MMR005022","Tigyaing"
"90","Sagaing","Katha","AREA # 050404","Banmauk","MMR005023","Banmauk"
"91","Sagaing","Katha","AREA # 050405","Kawlin","MMR005024","Kawlin"
"92","Sagaing","Katha","AREA # 050406","Wuntho","MMR005025","Wuntho"
"93","Sagaing","Katha","AREA # 050407","Pinlebu","MMR005026","Pinlebu"
"94","Sagaing","Kalay","AREA # 050501","Kalay","MMR005027","Kale"
"95","Sagaing","Kalay","AREA # 050502","Kalewa","MMR005028","Kalewa"
"96","Sagaing","Kalay","AREA # 050503","Mingin","MMR005029","Mingin"
"97","Sagaing","Tamu","AREA # 050601","Tamu","MMR005030","Tamu"
"98","Sagaing","Tamu","AREA # 050651","Myothit(ST)","MMR005030","Tamu"
"99","Sagaing","Tamu","AREA # 050652","Khampat(ST)","MMR005030","Tamu"
"100","Sagaing","Mawlaik","AREA # 050701","Mawlaik","MMR005031","Mawlaik"
"101","Sagaing","Mawlaik","AREA # 050702","Phaungpyin","MMR005032","Paungbyin"
"102","Sagaing","Hkamti","AREA # 050801","Hkamti","MMR005033","Hkamti"
"103","Sagaing","Hkamti","AREA # 050802","Homalin","MMR005034","Homalin"
"104","Sagaing","Hkamti","AREA # 050803","Leshi","MMR005035","Lay Shi"
"105","Sagaing","Hkamti","AREA # 050851","Mobaingluk(ST)","MMR005035","Lay Shi"
"106","Sagaing","Hkamti","AREA # 050852","Sonemara(ST)","MMR005035","Lay Shi"
"107","Sagaing","Hkamti","AREA # 050804","Lahe","MMR005036","Lahe"
"108","Sagaing","Hkamti","AREA # 050853","Htanparkway(ST)","MMR005036","Lahe"
"109","Sagaing","Hkamti","AREA # 050805","Nanyun","MMR005037","Nanyun"
"110","Sagaing","Hkamti","AREA # 050854","Pansaung(ST)","MMR005037","Nanyun"
"111","Sagaing","Hkamti","AREA # 050855","Donhee(ST)","MMR005037","Nanyun"
"112","Tanintharyi","Dawei","AREA # 060151","Myitta(ST)","MMR006001","Dawei"
"113","Tanintharyi","Dawei","AREA # 060101","Dawei","MMR006001","Dawei"
"114","Tanintharyi","Dawei","AREA # 060102","Lounglon","MMR006002","Launglon"
"115","Tanintharyi","Dawei","AREA # 060103","Thayetchaung","MMR006003","Thayetchaung"
"116","Tanintharyi","Dawei","AREA # 060104","Yebyu","MMR006004","Yebyu"
"117","Tanintharyi","Dawei","AREA # 060152","Kaleinaung(ST)","MMR006004","Yebyu"
"118","Tanintharyi","Myeik","AREA # 060201","Myeik","MMR006005","Myeik"
"119","Tanintharyi","Myeik","AREA # 060202","Kyunsu","MMR006006","Kyunsu"
"120","Tanintharyi","Myeik","AREA # 060251","Palauk(ST)","MMR006007","Palaw"
"121","Tanintharyi","Myeik","AREA # 060203","Palaw","MMR006007","Palaw"
"122","Tanintharyi","Myeik","AREA # 060204","Tanintharyi","MMR006008","Tanintharyi"
"123","Tanintharyi","Kawthoung","AREA # 060301","Kawthoung","MMR006009","Kawthoung"
"124","Tanintharyi","Kawthoung","AREA # 060351","Khamaukgyi","MMR006009","Kawthoung"
"125","Tanintharyi","Kawthoung","AREA # 060302","Bokepyin","MMR006010","Bokpyin"
"126","Tanintharyi","Kawthoung","AREA # 060353","Karathuri(ST)","MMR006010","Bokpyin"
"127","Tanintharyi","Kawthoung","AREA # 060352","Pyigyimandaing","MMR006010","Bokpyin"
"128","Bago","Bago","AREA # 070101","Bago","MMR007001","Bago"
"129","Bago","Bago","AREA # 070102","Tanatpin","MMR007002","Thanatpin"
"130","Bago","Bago","AREA # 070103","Kawa","MMR007003","Kawa"
"131","Bago","Bago","AREA # 070104","Waw","MMR007004","Waw"
"132","Bago","Bago","AREA # 070105","Nyaunglebin","MMR007005","Nyaunglebin"
"133","Bago","Bago","AREA # 070106","Kyauktaga","MMR007006","Kyauktaga"
"134","Bago","Bago","AREA # 070107","Daik U","MMR007007","Daik-U"
"135","Bago","Bago","AREA # 070108","Shwegyin","MMR007008","Shwegyin"
"136","Bago","Toungoo","AREA # 070201","Toungoo","MMR007009","Taungoo"
"137","Bago","Toungoo","AREA # 070202","Yaedashe","MMR007010","Yedashe"
"138","Bago","Toungoo","AREA # 070203","Kyaukkyi","MMR007011","Kyaukkyi"
"139","Bago","Toungoo","AREA # 070204","Pyu","MMR007012","Phyu"
"140","Bago","Toungoo","AREA # 070205","Oatwin","MMR007013","Oktwin"
"141","Bago","Toungoo","AREA # 070206","Htantapin","MMR007014","Htantabin"
"142","Bago","Pyay","AREA # 070301","Pyay","MMR008001","Pyay"
"143","Bago","Pyay","AREA # 070302","Paukkhaung","MMR008002","Paukkhaung"
"144","Bago","Pyay","AREA # 070303","Padaung","MMR008003","Padaung"
"145","Bago","Pyay","AREA # 070304","Paunde","MMR008004","Paungde"
"146","Bago","Pyay","AREA # 070305","Thegon","MMR008005","Thegon"
"147","Bago","Pyay","AREA # 070306","Shwedaung","MMR008006","Shwedaung"
"148","Bago","Tharyarwaddy","AREA # 070401","Tharyarwaddy","MMR008007","Thayarwady"
"149","Bago","Tharyarwaddy","AREA # 070402","Letpadan","MMR008008","Letpadan"
"150","Bago","Tharyarwaddy","AREA # 070403","Minhla","MMR008009","Minhla"
"151","Bago","Tharyarwaddy","AREA # 070404","Okpo","MMR008010","Okpho"
"152","Bago","Tharyarwaddy","AREA # 070405","Zigon","MMR008011","Zigon"
"153","Bago","Tharyarwaddy","AREA # 070406","Nattalin","MMR008012","Nattalin"
"154","Bago","Tharyarwaddy","AREA # 070407","Monyo","MMR008013","Monyo"
"155","Bago","Tharyarwaddy","AREA # 070408","Gyobingauk","MMR008014","Gyobingauk"
"156","Magway","Magway","AREA # 080101","Magway","MMR009001","Magway"
"157","Magway","Magway","AREA # 080102","Yenangyoung","MMR009002","Yenangyaung"
"158","Magway","Magway","AREA # 080103","Chauk","MMR009003","Chauk"
"159","Magway","Magway","AREA # 080104","Taungdwingyi","MMR009004","Taungdwingyi"
"160","Magway","Magway","AREA # 080105","Myothit","MMR009005","Myothit"
"161","Magway","Magway","AREA # 080106","Natmauk","MMR009006","Natmauk"
"162","Magway","Minbu","AREA # 080201","Minbu","MMR009007","Minbu"
"163","Magway","Minbu","AREA # 080202","Pwint Phyu","MMR009008","Pwintbyu"
"164","Magway","Minbu","AREA # 080203","Ngape","MMR009009","Ngape"
"165","Magway","Minbu","AREA # 080204","Salin","MMR009010","Salin"
"166","Magway","Minbu","AREA # 080205","Saytottara","MMR009011","Sidoktaya"
"167","Magway","Thayet","AREA # 080301","Thayet","MMR009012","Thayet"
"168","Magway","Thayet","AREA # 080302","Minhla","MMR009013","Minhla"
"169","Magway","Thayet","AREA # 080303","Mindon","MMR009014","Mindon"
"170","Magway","Thayet","AREA # 080304","Kamma","MMR009015","Kamma"
"171","Magway","Thayet","AREA # 080305","Aunglan","MMR009016","Aunglan"
"172","Magway","Thayet","AREA # 080306","Sinpaungwe`","MMR009017","Sinbaungwe"
"173","Magway","Pakokku","AREA # 080401","Pakokku","MMR009018","Pakokku"
"174","Magway","Pakokku","AREA # 080402","Yesagyo","MMR009019","Yesagyo"
"175","Magway","Pakokku","AREA # 080403","Myaing","MMR009020","Myaing"
"176","Magway","Pakokku","AREA # 080404","Pauk","MMR009021","Pauk"
"177","Magway","Pakokku","AREA # 080405","Seikphyu","MMR009022","Seikphyu"
"178","Magway","Gangaw","AREA # 080501","Gangaw","MMR009023","Gangaw"
"179","Magway","Gangaw","AREA # 080502","Htilin","MMR009024","Tilin"
"180","Magway","Gangaw","AREA # 080503","Saw","MMR009025","Saw"
"181","Magway","Gangaw","AREA # 080551","Kyaukhtu(ST)","MMR009025","Saw"
"182","Mandalay","Mandalay","AREA # 090101","Aungmyetharzan","MMR010001","Aungmyaythazan"
"183","Mandalay","Mandalay","AREA # 090102","Chanayeharzan","MMR010002","Chanayethazan"
"184","Mandalay","Mandalay","AREA # 090103","Mahaaungmye","MMR010003","Mahaaungmyay"
"185","Mandalay","Mandalay","AREA # 090104","Chanmyatharzi","MMR010004","Chanmyathazi"
"186","Mandalay","Mandalay","AREA # 090105","Pyigyidagun","MMR010005","Pyigyitagon"
"187","Mandalay","Mandalay","AREA # 090106","Amarapura","MMR010006","Amarapura"
"188","Mandalay","Mandalay","AREA # 090107","Patheingyi","MMR010007","Patheingyi"
"189","Mandalay","Pyin Oo Lwin","AREA # 090201","Pyin Oo Lwin","MMR010008","Pyinoolwin"
"190","Mandalay","Pyin Oo Lwin","AREA # 090202","Madaya","MMR010009","Madaya"
"191","Mandalay","Pyin Oo Lwin","AREA # 090203","Sinku","MMR010010","Singu"
"192","Mandalay","Pyin Oo Lwin","AREA # 090204","Mogok","MMR010011","Mogoke"
"193","Mandalay","Pyin Oo Lwin","AREA # 090205","Thabeikkyin","MMR010012","Thabeikkyin"
"194","Mandalay","Pyin Oo Lwin","AREA # 090251","Tagaung","MMR010012","Thabeikkyin"
"195","Mandalay","Kyaukse","AREA # 090301","Kyaukse","MMR010013","Kyaukse"
"196","Mandalay","Kyaukse","AREA # 090302","Singaing","MMR010014","Sintgaing"
"197","Mandalay","Kyaukse","AREA # 090303","Myitthar","MMR010015","Myittha"
"198","Mandalay","Kyaukse","AREA # 090304","Tada U","MMR010016","Tada-U"
"199","Mandalay","Myingyan","AREA # 090401","Myingyan","MMR010017","Myingyan"
"200","Mandalay","Myingyan","AREA # 090402","Taungtha","MMR010018","Taungtha"
"201","Mandalay","Myingyan","AREA # 090403","Natogyi","MMR010019","Natogyi"
"202","Mandalay","Nyaung U","AREA # 090404","Kyaukpadaung","MMR010020","Kyaukpadaung"
"203","Mandalay","Myingyan","AREA # 090405","Ngazun","MMR010021","Ngazun"
"204","Mandalay","Nyaung U","AREA # 090501","Nyaung U","MMR010022","Nyaung-U"
"205","Mandalay","Nyaung U","AREA # 090551","Ngathayauk","MMR010022","Nyaung-U"
"206","Mandalay","Yame`thin","AREA # 090601","Yame`thin","MMR010023","Yamethin"
"207","Mandalay","Yame`thin","AREA # 090602","Pyawbwe","MMR010024","Pyawbwe"
"208","Mandalay","Meiktila","AREA # 090701","Meiktila","MMR010028","Meiktila"
"209","Mandalay","Meiktila","AREA # 090702","Mahlaing","MMR010029","Mahlaing"
"210","Mandalay","Meiktila","AREA # 090703","Thazi","MMR010030","Thazi"
