"","AreaCode","Township","Male","Female","Total"
"1","AREA # 010101","Myitkyina",17,9,26
"2","AREA # 010102","Waingmaw",19,18,37
"3","AREA # 010103","Ingyanyan",NA,NA,NA
"4","AREA # 010104","Tanaing",1,2,3
"5","AREA # 010105","Chiphwe",1,NA,1
"6","AREA # 010106","Hsotlaw",1,NA,1
"7","AREA # 010151","Hsinbo(ST)",1,2,3
"8","AREA # 010152","Hsadone(ST)",2,4,6
"9","AREA # 010153","Kanpaikti(ST)",NA,1,1
"10","AREA # 010154","Shinbwayyan(ST)",NA,NA,NA
"11","AREA # 010155","Panwa(ST)",NA,NA,NA
"12","AREA # 010201","Mohnyin",11,4,15
"13","AREA # 010202","Mogaung",6,5,11
"14","AREA # 010203","Phakant",11,6,17
"15","AREA # 010251","Hopin(ST)",2,3,5
"16","AREA # 010252","Kamine(ST)",NA,1,1
"17","AREA # 010301","Bhamo",9,11,20
"18","AREA # 010302","Shwegu",9,6,15
"19","AREA # 010303","Momauk",3,1,4
"20","AREA # 010304","Mansi",2,3,5
"21","AREA # 010351","Myohla(ST)",NA,1,1
"22","AREA # 010352","Lwe`ge`(ST)",NA,NA,NA
"23","AREA # 010353","Dotphoneyan(ST)",2,NA,2
"24","AREA # 010401","Putao",5,10,15
"25","AREA # 010402","Sumprabum",NA,NA,NA
"26","AREA # 010403","Machanbaw",1,2,3
"27","AREA # 010404","Khaunglanphoo",NA,NA,NA
"28","AREA # 010405","Naungmoon",NA,NA,NA
"29","AREA # 010451","Pannandin(ST)",NA,NA,NA
"30","AREA # 020101","Loikaw",7,8,15
"31","AREA # 020102","Dimawso",7,1,8
"32","AREA # 020103","Phruso",2,1,3
"33","AREA # 020104","Shardaw",NA,NA,NA
"34","AREA # 020201","Bawlakhe",2,1,3
"35","AREA # 020202","Parsaung",2,NA,2
"36","AREA # 020203","Meisi",NA,NA,NA
"37","AREA # 020251","Ywathit(ST)",NA,NA,NA
"38","AREA # 030101","Hpa-an",26,28,54
"39","AREA # 030102","Hlaingbwe",6,5,11
"40","AREA # 030103","Thandaunggyi",5,3,8
"41","AREA # 030151","Paingkyon(ST)",10,4,14
"42","AREA # 030152","Shan Ywathit(ST)",2,1,3
"43","AREA # 030153","Leiktho(ST)",22,17,39
"44","AREA # 030154","Bawgali(ST)",1,NA,1
"45","AREA # 030201","Pharpon",3,1,4
"46","AREA # 030251","Kamamaung(ST}",2,NA,2
"47","AREA # 030301","Myawady",9,4,13
"48","AREA # 030351","Sugali(ST)",NA,NA,NA
"49","AREA # 030352","Wawlaymyaing(ST)",NA,NA,NA
"50","AREA # 030401","Kawkareik",11,20,31
"51","AREA # 030402","Kyarinseikkyi",5,5,10
"52","AREA # 030451","Payarthonezu(ST)",9,3,12
"53","AREA # 030452","Kyaidon(ST)",NA,4,4
"54","AREA # 040101","HaKa",4,4,8
"55","AREA # 040102","Thantlang",3,5,8
"56","AREA # 040201","Falam",11,8,19
"57","AREA # 040202","Tedim",14,8,22
"58","AREA # 040203","Tonzaung",1,3,4
"59","AREA # 040251","Rihkhuadal(ST)",1,NA,1
"60","AREA # 040252","Cikha(ST)",2,1,3
"61","AREA # 040301","Mindat",7,7,14
"62","AREA # 040302","Matupi",23,14,37
"63","AREA # 040303","Kanpalet",7,2,9
"64","AREA # 040304","Paletwat",13,7,20
"65","AREA # 040351","Reazu(ST)",11,13,24
"66","AREA # 040352","Sami(ST)",4,3,7
"67","AREA # 050101","Sagaing",2,8,10
"68","AREA # 050102","Myinmu",4,1,5
"69","AREA # 050103","Myaung",6,1,7
"70","AREA # 050201","Shwebo",6,7,13
"71","AREA # 050202","Khin U",4,4,8
"72","AREA # 050203","Wetlet",1,1,2
"73","AREA # 050204","Kambalu",11,7,18
"74","AREA # 050205","Kyunhlau",4,4,8
"75","AREA # 050206","Ye U",7,2,9
"76","AREA # 050207","Depayin",8,5,13
"77","AREA # 050208","Tasei",9,3,12
"78","AREA # 050251","Kyaukmyaung(ST)",1,1,2
"79","AREA # 050301","Monywa",8,8,16
"80","AREA # 050302","Butalin",6,7,13
"81","AREA # 050303","Ayartaw",6,4,10
"82","AREA # 050304","Chaung Oo",5,1,6
"83","AREA # 050401","Katha",8,6,14
"84","AREA # 050402","Indaw",3,2,5
"85","AREA # 050403","Tigyaing",4,3,7
"86","AREA # 050404","Banmauk",6,5,11
"87","AREA # 050405","Kawlin",6,4,10
"88","AREA # 050406","Wuntho",1,2,3
"89","AREA # 050407","Pinlebu",7,2,9
"90","AREA # 050501","Kalay",25,13,38
"91","AREA # 050502","Kalewa",2,2,4
"92","AREA # 050503","Mingin",5,1,6
"93","AREA # 050601","Tamu",2,NA,2
"94","AREA # 050651","Myothit(ST)",2,1,3
"95","AREA # 050652","Khampat(ST)",1,3,4
"96","AREA # 050701","Mawlaik",7,NA,7
"97","AREA # 050702","Phaungpyin",5,3,8
"98","AREA # 050801","Hkamti",5,2,7
"99","AREA # 050802","Homalin",10,13,23
"100","AREA # 050803","Leshi",2,1,3
"101","AREA # 050804","Lahe",3,1,4
"102","AREA # 050805","Nanyun",NA,1,1
"103","AREA # 050851","Mobaingluk(ST)",NA,NA,NA
"104","AREA # 050852","Sonemara(ST)",NA,NA,NA
"105","AREA # 050853","Htanparkway(ST)",NA,NA,NA
"106","AREA # 050854","Pansaung(ST)",5,4,9
"107","AREA # 050855","Donhee(ST)",NA,NA,NA
"108","AREA # 050901","Yinmarpin",4,2,6
"109","AREA # 050902","Salingyi",5,3,8
"110","AREA # 050903","Palae",10,3,13
"111","AREA # 050904","Kani",7,6,13
"112","AREA # 060101","Dawei",8,6,14
"113","AREA # 060102","Lounglon",10,5,15
"114","AREA # 060103","Thayetchaung",20,8,28
"115","AREA # 060104","Yebyu",3,9,12
"116","AREA # 060151","Myitta(ST)",3,3,6
"117","AREA # 060152","Kaleinaung(ST)",1,1,2
"118","AREA # 060201","Myeik",19,17,36
"119","AREA # 060202","Kyunsu",22,23,45
"120","AREA # 060203","Palaw",18,10,28
"121","AREA # 060204","Tanintharyi",26,20,46
"122","AREA # 060251","Palauk(ST)",7,4,11
"123","AREA # 060301","Kawthoung",7,7,14
"124","AREA # 060302","Bokepyin",3,3,6
"125","AREA # 060351","Khamaukgyi",NA,NA,NA
"126","AREA # 060352","Pyigyimandaing",4,2,6
"127","AREA # 060353","Karathuri(ST)",1,2,3
"128","AREA # 070101","Bago",14,13,27
"129","AREA # 070102","Tanatpin",3,4,7
"130","AREA # 070103","Kawa",16,4,20
"131","AREA # 070104","Waw",5,6,11
"132","AREA # 070105","Nyaunglebin",6,9,15
"133","AREA # 070106","Kyauktaga",7,11,18
"134","AREA # 070107","Daik U",6,2,8
"135","AREA # 070108","Shwegyin",6,5,11
"136","AREA # 070201","Toungoo",4,6,10
"137","AREA # 070202","Yaedashe",12,10,22
"138","AREA # 070203","Kyaukkyi",3,8,11
"139","AREA # 070204","Pyu",14,10,24
"140","AREA # 070205","Oatwin",7,15,22
"141","AREA # 070206","Htantapin",9,5,14
"142","AREA # 070301","Pyay",8,6,14
"143","AREA # 070302","Paukkhaung",2,1,3
"144","AREA # 070303","Padaung",6,7,13
"145","AREA # 070304","Paunde",2,1,3
"146","AREA # 070305","Thegon",4,5,9
"147","AREA # 070306","Shwedaung",3,NA,3
"148","AREA # 070401","Tharyarwaddy",8,7,15
"149","AREA # 070402","Letpadan",8,6,14
"150","AREA # 070403","Minhla",4,4,8
"151","AREA # 070404","Okpo",8,6,14
"152","AREA # 070405","Zigon",1,2,3
"153","AREA # 070406","Nattalin",5,2,7
"154","AREA # 070407","Monyo",6,2,8
"155","AREA # 070408","Gyobingauk",3,3,6
"156","AREA # 080101","Magway",7,4,11
"157","AREA # 080102","Yenangyoung",3,2,5
"158","AREA # 080103","Chauk",9,4,13
"159","AREA # 080104","Taungdwingyi",15,7,22
"160","AREA # 080105","Myothit",5,7,12
"161","AREA # 080106","Natmauk",7,6,13
"162","AREA # 080201","Minbu",6,4,10
"163","AREA # 080202","Pwint Phyu",10,5,15
"164","AREA # 080203","Ngape",3,2,5
"165","AREA # 080204","Salin",13,5,18
"166","AREA # 080205","Saytottara",1,2,3
"167","AREA # 080301","Thayet",5,1,6
"168","AREA # 080302","Minhla",7,5,12
"169","AREA # 080303","Mindon",2,1,3
"170","AREA # 080304","Kamma",5,2,7
"171","AREA # 080305","Aunglan",9,12,21
"172","AREA # 080306","Sinpaungwe`",7,6,13
"173","AREA # 080401","Pakokku",10,13,23
"174","AREA # 080402","Yesagyo",5,6,11
"175","AREA # 080403","Myaing",22,14,36
"176","AREA # 080404","Pauk",15,13,28
"177","AREA # 080405","Seikphyu",3,2,5
"178","AREA # 080501","Gangaw",6,3,9
"179","AREA # 080502","Htilin",1,1,2
"180","AREA # 080503","Saw",2,1,3
"181","AREA # 080551","Kyaukhtu(ST)",1,3,4
"182","AREA # 090101","Aungmyetharzan",13,5,18
"183","AREA # 090102","Chanayeharzan",2,3,5
"184","AREA # 090103","Mahaaungmye",5,1,6
"185","AREA # 090104","Chanmyatharzi",9,7,16
"186","AREA # 090105","Pyigyidagun",10,7,17
"187","AREA # 090106","Amarapura",1,3,4
"188","AREA # 090107","Patheingyi",10,6,16
"189","AREA # 090201","Pyin Oo Lwin",4,4,8
"190","AREA # 090202","Madaya",7,3,10
"191","AREA # 090203","Sinku",7,5,12
"192","AREA # 090204","Mogok",12,6,18
"193","AREA # 090205","Thabeikkyin",6,5,11
"194","AREA # 090251","Tagaung",1,2,3
"195","AREA # 090301","Kyaukse",6,2,8
"196","AREA # 090302","Singaing",2,1,3
"197","AREA # 090303","Myitthar",8,2,10
"198","AREA # 090304","Tada U",NA,1,1
"199","AREA # 090401","Myingyan",10,10,20
"200","AREA # 090402","Taungtha",9,7,16
"201","AREA # 090403","Natogyi",12,6,18
"202","AREA # 090404","Kyaukpadaung",7,6,13
"203","AREA # 090405","Ngazun",4,4,8
"204","AREA # 090501","Nyaung U",10,8,18
"205","AREA # 090551","Ngat",7,9,16
"206","AREA # 090601","Yame`thin",15,9,24
"207","AREA # 090602","Pyawbwe",6,11,17
"208","AREA # 090701","Meiktila",15,4,19
"209","AREA # 090702","MahlYaing",5,5,10
"210","AREA # 090703","Thazi",9,10,19
"211","AREA # 090704","Wundwin",6,4,10
"212","AREA # 100101","Mawlamyine",8,10,18
"213","AREA # 100102","Kyaikemaraw",4,7,11
"214","AREA # 100103","Chaungzon",3,8,11
"215","AREA # 100104","Thanbyuzayat",10,6,16
"216","AREA # 100105","Mudon",8,5,13
"217","AREA # 100106","Ye",12,7,19
"218","AREA # 100151","Lamine",4,2,6
"219","AREA # 100152","Khawzar",3,1,4
"220","AREA # 100201","Thaton",10,9,19
"221","AREA # 100202","Paung",11,9,20
"222","AREA # 100203","Kyaikto",16,9,25
"223","AREA # 100204","Bilin",19,8,27
"224","AREA # 110101","Sittway",6,2,8
"225","AREA # 110102","Ponnagyun",9,3,12
"226","AREA # 110103","Pauktaw",3,2,5
"227","AREA # 110104","Yethedaung",13,11,24
"228","AREA # 110201","Myauk U",23,16,39
"229","AREA # 110202","Kyauktaw",19,10,29
"230","AREA # 110203","Minbya",13,9,22
"231","AREA # 110204","Myebon",12,13,25
"232","AREA # 110301","Maungtaw",5,2,7
"233","AREA # 110302","Buthidaung",4,2,6
"234","AREA # 110351","Taungpyoletwe(ST)",NA,NA,NA
"235","AREA # 110401","Kyaukpyu",13,9,22
"236","AREA # 110402","Mannaung",4,2,6
"237","AREA # 110403","Yanbye",8,2,10
"238","AREA # 110404","An",7,5,12
"239","AREA # 110501","Thandwe",9,5,14
"240","AREA # 110502","Toungup",11,9,20
"241","AREA # 110503","Gwa",4,2,6
"242","AREA # 110551","Maei(ST)",3,4,7
"243","AREA # 110552","Kyeintali(ST)",1,3,4
"244","AREA # 120101","Insein",15,9,24
"245","AREA # 120102","Mingaladon",12,3,15
"246","AREA # 120103","Hmawby",11,4,15
"247","AREA # 120104","Hlegu",6,13,19
"248","AREA # 120105","Taikkyi",16,12,28
"249","AREA # 120106","Htantabin",13,5,18
"250","AREA # 120107","Shwepyitha",11,10,21
"251","AREA # 120108","Hlinethaya",29,18,47
"252","AREA # 120201","Thingangyun",8,7,15
"253","AREA # 120202","Yankin",2,1,3
"254","AREA # 120203","South Okkalapa",3,5,8
"255","AREA # 120204","North Okkalapa",11,6,17
"256","AREA # 120205","Thakayta",5,5,10
"257","AREA # 120206","Dawbon",3,NA,3
"258","AREA # 120207","Tamway",7,3,10
"259","AREA # 120208","Pazuntaung",NA,1,1
"260","AREA # 120209","Botahtaung",2,NA,2
"261","AREA # 120210","Dagon Myothit(South)",9,13,22
"262","AREA # 120211","Dagon Myothit(North)",5,3,8
"263","AREA # 120212","Dagon Myothit(East)",9,6,15
"264","AREA # 120213","Dagon Myothit(Seik)",6,8,14
"265","AREA # 120214","Mingala Taungnyunt",3,5,8
"266","AREA # 120301","Thanlyin",6,5,11
"267","AREA # 120302","Kyauktan",6,1,7
"268","AREA # 120303","Thongwa",2,4,6
"269","AREA # 120304","Khayan",9,8,17
"270","AREA # 120305","Twantay",14,12,26
"271","AREA # 120306","Kawhmu",4,6,10
"272","AREA # 120307","Kungyangon",15,7,22
"273","AREA # 120308","Dala",11,5,16
"274","AREA # 120309","Seikkyi/Khanaungto",5,2,7
"275","AREA # 120310","Cocogyun",NA,NA,NA
"276","AREA # 120351","Tada(ST)",1,NA,1
"277","AREA # 120401","Kyauktada",NA,2,2
"278","AREA # 120402","Pabedan",1,NA,1
"279","AREA # 120403","Lanmadaw",NA,NA,NA
"280","AREA # 120404","Latha",1,NA,1
"281","AREA # 120405","Ahlon",NA,NA,NA
"282","AREA # 120406","Kyimyindine",2,3,5
"283","AREA # 120407","Sangyoung",3,2,5
"284","AREA # 120408","Hline",7,3,10
"285","AREA # 120409","Kamayut",NA,1,1
"286","AREA # 120410","Mayangon",11,6,17
"287","AREA # 120411","Dagon",NA,NA,NA
"288","AREA # 120412","Bahan",2,1,3
"289","AREA # 120413","Seikkan",NA,NA,NA
"290","AREA # 130101","Taunggyi",17,8,25
"291","AREA # 130102","Nyaungshwe",10,3,13
"292","AREA # 130103","Hopon",2,3,5
"293","AREA # 130104","Hsihseng",12,4,16
"294","AREA # 130105","Kalaw",3,8,11
"295","AREA # 130106","Pindaya",3,2,5
"296","AREA # 130107","Ywarngan",6,3,9
"297","AREA # 130108","Yatsauk",9,9,18
"298","AREA # 130109","Pinlaung",5,6,11
"299","AREA # 130110","Phekon",13,5,18
"300","AREA # 130151","Kyauktalongyi(ST)",6,3,9
"301","AREA # 130152","Indaw(ST)",4,2,6
"302","AREA # 130153","Naungtayar(ST)",9,3,12
"303","AREA # 130201","Loilem",NA,NA,NA
"304","AREA # 130202","Le`char",1,2,3
"305","AREA # 130203","Nanhsam(South)",1,2,3
"306","AREA # 130204","Kunhing",NA,NA,NA
"307","AREA # 130205","Kehsi",2,1,3
"308","AREA # 130206","Mongkai",2,2,4
"309","AREA # 130207","Mineshu",NA,1,1
"310","AREA # 130251","Panglong(ST)",1,NA,1
"311","AREA # 130252","Kholan(ST)",NA,NA,NA
"312","AREA # 130253","Karli(ST)",NA,NA,NA
"313","AREA # 130254","Minenaung(ST)",1,NA,1
"314","AREA # 130255","Minesan(Monsan)(ST)",NA,1,1
"315","AREA # 130301","Linkhe`",1,2,3
"316","AREA # 130302","Mone`",NA,2,2
"317","AREA # 130303","Maukme`",3,2,5
"318","AREA # 130304","Minepan",NA,NA,NA
"319","AREA # 130351","Homane(ST)",NA,NA,NA
"320","AREA # 130352","Kengtaung(ST)",NA,NA,NA
"321","AREA # 130401","Lashio",1,4,5
"322","AREA # 130402","Theinni",NA,1,1
"323","AREA # 130403","Mineye`",NA,NA,NA
"324","AREA # 130404","Tantyan",1,2,3
"325","AREA # 130501","MuSe",3,NA,3
"326","AREA # 130502","Namkham",5,3,8
"327","AREA # 130503","Kukai",3,7,10
"328","AREA # 130551","Monekoe(ST)",1,1,2
"329","AREA # 130552","Manhero(ST)",NA,NA,NA
"330","AREA # 130553","Pansai(KyuKute)(ST)",NA,NA,NA
"331","AREA # 130554","Tamoenye(ST)",1,1,2
"332","AREA # 130601","Kyukme",6,4,10
"333","AREA # 130602","Naungkhio",11,3,14
"334","AREA # 130603","Hsipaw",2,6,8
"335","AREA # 130604","Namtu",2,4,6
"336","AREA # 130605","Namsan(North)",6,2,8
"337","AREA # 130606","Momeik",4,5,9
"338","AREA # 130607","Mabane",3,3,6
"339","AREA # 130608","Manton",2,2,4
"340","AREA # 130651","Minengaw(ST)",NA,NA,NA
"341","AREA # 130652","Minelon(ST)",2,1,3
"342","AREA # 130701","Kunlon",5,2,7
"343","AREA # 130801","Laukine",5,3,8
"344","AREA # 130802","Kongyan",1,2,3
"345","AREA # 130851","Chinshwehaw(ST)",NA,NA,NA
"346","AREA # 130852","Mawhtike(ST)",NA,NA,NA
"347","AREA # 130901","Hopan",NA,1,1
"348","AREA # 130902","Minemaw",NA,2,2
"349","AREA # 130903","Panwine",14,3,17
"350","AREA # 130952","Panlon(ST)",1,NA,1
"351","AREA # 131001","Makman",NA,NA,NA
"352","AREA # 131002","Pan San(Pan Kham)",1,NA,1
"353","AREA # 131003","Naphang",1,2,3
"354","AREA # 131051","ManKan(ST)",NA,NA,NA
"355","AREA # 131101","Kengtung",4,3,7
"356","AREA # 131102","Minekat",1,1,2
"357","AREA # 131103","Mineyan",NA,1,1
"358","AREA # 131104","Minelar",1,1,2
"359","AREA # 131151","Mine Pauk(ST)",1,NA,1
"360","AREA # 131201","Minesat",4,1,5
"361","AREA # 131202","Minepyin",3,NA,3
"362","AREA # 131203","Minetung",1,2,3
"363","AREA # 131251","Minekoke(ST)",NA,NA,NA
"364","AREA # 131252","Tontar(ST)",NA,NA,NA
"365","AREA # 131253","Ponparkyin(ST)",3,3,6
"366","AREA # 131254","Monehta(ST)",NA,NA,NA
"367","AREA # 131301","Tachileik",3,2,5
"368","AREA # 131351","Talay(ST)",3,2,5
"369","AREA # 131352","Kenglat(ST)",NA,1,1
"370","AREA # 131401","Minephyat",2,NA,2
"371","AREA # 131402","Mineyaung",NA,1,1
"372","AREA # 131451","Mineyu(ST)",3,1,4
"373","AREA # 140101","Kangyidaunt",9,7,16
"374","AREA # 140102","Kyaungon",9,6,15
"375","AREA # 140103","Kyonpyaw",20,22,42
"376","AREA # 140104","Ngaputaw",8,13,21
"377","AREA # 140105","Pathein",11,13,24
"378","AREA # 140106","Yekyi",7,3,10
"379","AREA # 140107","Thapaung",9,8,17
"380","AREA # 140151","Ngayokaung(ST)",3,1,4
"381","AREA # 140152","Hainggyikyun(ST)",12,9,21
"382","AREA # 140153","Shwethaungyan(ST)",2,1,3
"383","AREA # 140154","Ngwehsaung(ST)",4,1,5
"384","AREA # 140155","Ngathaingchaung(ST)",6,3,9
"385","AREA # 140201","Kyaiklatt",13,15,28
"386","AREA # 140202","Daydaye",14,9,23
"387","AREA # 140203","Phyapon",26,13,39
"388","AREA # 140204","Bogale",55,36,91
"389","AREA # 140251","Ahmar(ST)",27,16,43
"390","AREA # 140301","Nyaungdon",13,7,20
"391","AREA # 140302","Danubyu",11,9,20
"392","AREA # 140303","Pantanaw",15,16,31
"393","AREA # 140304","Maubin",20,18,38
"394","AREA # 140401","Myaungmya",24,13,37
"395","AREA # 140402","Wakema",19,15,34
"396","AREA # 140403","Einme",6,2,8
"397","AREA # 140501","Mawlamyinegyun",61,48,109
"398","AREA # 140502","Labutta",23,17,40
"399","AREA # 140551","Pyinsalu(ST)",5,7,12
"400","AREA # 140601","Kyangin",4,2,6
"401","AREA # 140602","Zalun",9,8,17
"402","AREA # 140603","Myanaung",8,6,14
"403","AREA # 140604","Laymyethna",7,2,9
"404","AREA # 140605","Hinthada",21,23,44
"405","AREA # 140606","Ingapu",16,13,29
"406","AREA # 150101","Tatkon",6,3,9
"407","AREA # 150102","Zeyarthiri",2,2,4
"408","AREA # 150103","Ottarathiri",2,NA,2
"409","AREA # 150104","Pobbathiri",3,6,9
"410","AREA # 150201","Pyinmana",8,8,16
"411","AREA # 150202","Lewe",12,7,19
"412","AREA # 150203","Zabuthiri",3,3,6
"413","AREA # 150204","Dekkhinathiri",NA,1,1
